The inverse of Matrix:
0.840188,       0.394383,       0.783099,       0.798440,       0.911647,       0.197551,       0.335223;
0.768230,       0.277775,       0.553970,       0.477397,       0.628871,       0.364784,       0.513401;
0.952230,       0.916195,       0.635712,       0.717297,       0.141603,       0.606969,       0.016301;
0.242887,       0.137232,       0.804177,       0.156679,       0.400944,       0.129790,       0.108809;
0.998925,       0.218257,       0.512932,       0.839112,       0.612640,       0.296032,       0.637552;
0.524287,       0.493583,       0.972775,       0.292517,       0.771358,       0.526745,       0.769914;
0.400229,       0.891529,       0.283315,       0.352458,       0.807725,       0.919026,       0.069755;
is:
0.180440,       6.172016,       0.615638,       -0.893136,      -3.158115,      -1.378755,      -0.961561;
2.523891,       0.062838,       1.091785,       -3.408619,      -3.005650,      1.890298,       -0.922424;
-0.541822,      -1.053941,      0.169935,       1.800865,       0.629732,       0.171156,       -0.132703;
-0.371023,      -6.562831,      -0.321578,      1.370535,       4.774869,       0.307326,       0.989336;
1.341195,       1.657966,       -0.758242,      -0.533007,      -1.470916,      -0.410827,      0.338937;
-3.401572,      -1.272417,      -0.585990,      3.209600,       3.517904,       -1.188401,      1.806062;
0.068149,       -1.208686,      -0.051117,      -1.664532,      0.534533,       1.917526,       -0.537277;
Inverse*Matrix is:
1.000000,       -0.000000,      0.000000,       -0.000000,      -0.000000,      0.000000,       -0.000000;
-0.000000,      1.000000,       0.000000,       -0.000000,      0.000000,       -0.000000,      -0.000000;
0.000000,       -0.000000,      1.000000,       -0.000000,      -0.000000,      0.000000,       0.000000;
0.000000,       -0.000000,      -0.000000,      1.000000,       -0.000000,      0.000000,       0.000000;
-0.000000,      0.000000,       0.000000,       0.000000,       1.000000,       -0.000000,      -0.000000;
0.000000,       -0.000000,      0.000000,       0.000000,       0.000000,       1.000000,       0.000000;
-0.000000,      0.000000,       0.000000,       -0.000000,      -0.000000,      0.000000,       1.000000;
